"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","GO Biological Processes","GO:0090596","sensory organ morphogenesis","365","3","21.429","8.2004","3.036","0.00519887467522414","2.28409065160174","1","0.0317463198253048","0.220024723212537","pk,fred,sano","FBgn0003090,FBgn0051774,FBgn0034408"
"","GO Biological Processes","GO:0051962","positive regulation of nervous system development","112","2","14.286","17.8163","4.155","0.00544502811045811","2.26399987381724","1","0.0328994330042416","0.228016623042957","pk,Sdc","FBgn0003090,FBgn0010415"
"","GO Biological Processes","GO:0048513","animal organ development","1295","5","35.714","3.8522","1.946","0.00666970298591504","2.17589350558124","1","0.0390654032032166","0.270751210668601","baz,pk,fred,zfh1,sano","FBgn0000163,FBgn0003090,FBgn0051774,FBgn0004606,FBgn0034408"
"","GO Biological Processes","GO:0009887","animal organ morphogenesis","811","4","28.571","4.9209","2.299","0.00706777534311257","2.15071726346595","1","0.0401673569004616","0.278388538666415","pk,fred,sano,baz","FBgn0003090,FBgn0051774,FBgn0034408,FBgn0000163"
"","GO Biological Processes","GO:0048870","cell motility","413","3","21.429","7.2473","2.857","0.0073266132267203","2.13509673434263","1","0.0412301567856613","0.285754502716994","baz,Sdc,zfh1","FBgn0000163,FBgn0010415,FBgn0004606"
"","GO Biological Processes","GO:0045927","positive regulation of growth","132","2","14.286","15.1169","3.918","0.0074875354219334","2.12566111004319","1","0.0417266537105803","0.289195581843089","pk,Sdc","FBgn0003090,FBgn0010415"
"","GO Biological Processes","GO:0048749","compound eye development","419","3","21.429","7.1435","2.837","0.00762413677032899","2.11780932143762","1","0.0420793702516235","0.29164015997821","fred,pk,sano","FBgn0051774,FBgn0003090,FBgn0034408"
"","GO Biological Processes","GO:0001654","eye development","446","3","21.429","6.7111","2.747","0.00905245281298951","2.04323373031782","1","0.0461927020645245","0.320148494128283","pk,fred,sano","FBgn0003090,FBgn0051774,FBgn0034408"
"","GO Biological Processes","GO:0048880","sensory system development","446","3","21.429","6.7111","2.747","0.00905245281298951","2.04323373031782","1","0.0461927020645245","0.320148494128283","fred,sano,pk","FBgn0051774,FBgn0034408,FBgn0003090"
"","GO Biological Processes","GO:0150063","visual system development","446","3","21.429","6.7111","2.747","0.00905245281298951","2.04323373031782","1","0.0461927020645245","0.320148494128283","sano,pk,fred","FBgn0034408,FBgn0003090,FBgn0051774"
