"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","GO Biological Processes","GO:0006810","transport","1927","3","21.429","1.5533","0.635","0.302792247969482","0.518855247755762","1","0.383670530539696","1","pk,unc-13-4A,path","FBgn0003090,FBgn0035756,FBgn0036007"
"","GO Biological Processes","GO:0048583","regulation of response to stimulus","1112","2","14.286","1.7945","0.844","0.307885313976373","0.51161102630023","1","0.38755739083868","1","pk,baz","FBgn0003090,FBgn0000163"
"","GO Biological Processes","GO:0051252","regulation of RNA metabolic process","1263","2","14.286","1.5799","0.66","0.365463411621338","0.437156095932792","1","0.44124492921689","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0048609","multicellular organismal reproductive process","1280","2","14.286","1.5589","0.641","0.371880796839212","0.429596247137364","1","0.447504355106305","1","baz,zfh1","FBgn0000163,FBgn0004606"
"","GO Biological Processes","GO:0019219","regulation of nucleobase-containing compound metabolic process","1326","2","14.286","1.5048","0.59","0.389152155203664","0.409880559997513","1","0.462470677198557","1","zfh1,CG42458","FBgn0004606,FBgn0259935"
"","GO Biological Processes","GO:0019953","sexual reproduction","1384","2","14.286","1.4418","0.528","0.41070652650912","0.386468395747818","1","0.481443674718075","1","baz,zfh1","FBgn0000163,FBgn0004606"
"","GO Cellular Component","GO:0005829","cytosol","1432","2","14.286","1.3935","0.479","0.42832936031702","0.368222155380124","1","0.49870396109933","1","eIF5B,CG42458","FBgn0026259,FBgn0259935"
"","GO Biological Processes","GO:0007165","signal transduction","1604","2","14.286","1.244","0.315","0.489560893147321","0.310193281566446","1","0.55316526115465","1","baz,dcma","FBgn0000163,FBgn0085380"
"","GO Biological Processes","GO:0022414","reproductive process","1662","2","14.286","1.2006","0.264","0.509440967304775","0.292906133657827","1","0.572248757794404","1","zfh1,baz","FBgn0004606,FBgn0000163"
"","GO Biological Processes","GO:0080090","regulation of primary metabolic process","1695","2","14.286","1.1772","0.235","0.520563099786215","0.283526620182222","1","0.58234362022327","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0006996","organelle organization","1784","2","14.286","1.1185","0.162","0.549844863692568","0.25975982749871","1","0.609287551659332","1","pk,baz","FBgn0003090,FBgn0000163"
"","GO Biological Processes","GO:0010468","regulation of gene expression","1811","2","14.286","1.1018","0.14","0.558515731879626","0.252964589473552","1","0.617544253765354","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0010556","regulation of macromolecule biosynthetic process","1826","2","14.286","1.0928","0.128","0.563289190775186","0.24926858256854","1","0.617935932531532","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0009889","regulation of biosynthetic process","1865","2","14.286","1.0699","0.097","0.575552416398958","0.239915118400454","1","0.62807430991065","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0060255","regulation of macromolecule metabolic process","2035","2","14.286","0.9806","-0.028","0.626452746925994","0.203111682089221","1","0.669616157794266","1","zfh1,CG42458","FBgn0004606,FBgn0259935"
"","GO Biological Processes","GO:0016070","RNA metabolic process","2071","2","14.286","0.9635","-0.054","0.636688276187562","0.196073147048246","1","0.676329380017754","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0051716","cellular response to stimulus","2079","2","14.286","0.9598","-0.059","0.638936775848973","0.194542114076933","1","0.676659980327141","1","dcma,baz","FBgn0085380,FBgn0000163"
"","GO Biological Processes","GO:0050896","response to stimulus","3154","3","21.429","0.949","-0.076","0.643695014222913","0.191319854711116","1","0.680443716692361","1","dcma,baz,pk","FBgn0085380,FBgn0000163,FBgn0003090"
"","GO Biological Processes","GO:0019222","regulation of metabolic process","2201","2","14.286","0.9066","-0.141","0.672048717173799","0.172599243563923","1","0.700101567436952","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Molecular Function","GO:0003676","nucleic acid binding","2238","2","14.286","0.8916","-0.166","0.681653975210147","0.166436028265072","1","0.704989877064188","1","zfh1,CG42458","FBgn0004606,FBgn0259935"
"","GO Biological Processes","GO:0010467","gene expression","3397","3","21.429","0.8811","-0.183","0.698949608356522","0.155554134127829","1","0.720282002148373","1","eIF5B,CG42458,zfh1","FBgn0026259,FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0090304","nucleic acid metabolic process","2343","2","14.286","0.8517","-0.232","0.707810576291439","0.150082952307865","1","0.726803704456683","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0009059","macromolecule biosynthetic process","3591","3","21.429","0.8335","-0.263","0.738951184367281","0.131384250455188","1","0.753388951735026","1","CG42458,zfh1,eIF5B","FBgn0259935,FBgn0004606,FBgn0026259"
"","GO Biological Processes","GO:0006139","nucleobase-containing compound metabolic process","2663","2","14.286","0.7493","-0.416","0.777733098404501","0.109169418148438","1","0.791522692347843","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0009058","biosynthetic process","4155","3","21.429","0.7204","-0.473","0.834315433542627","0.0786697225669584","1","0.847605413899943","1","CG42458,zfh1,eIF5B","FBgn0259935,FBgn0004606,FBgn0026259"
"","GO Cellular Component","GO:0005634","nucleus","3111","2","14.286","0.6414","-0.641","0.852890524691207","0.0691067104195137","1","0.863420037341716","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0043170","macromolecule metabolic process","4845","3","21.429","0.6178","-0.695","0.912446649995901","0.0397925189698228","1","0.917240590363655","1","eIF5B,CG42458,zfh1","FBgn0026259,FBgn0259935,FBgn0004606"
