"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","GO Cellular Component","GO:0031981","nuclear lumen","875","26","5.138","0.8203","-0.286","0.878741366393131","0.0561389288810714","1","0.938024515791131","1","rump,Psf2,Ice2,CG11788,gpp,mute,CG1142,MED6,CG3335,Rrp5,CG16779,slx1,Rrp42,CG9636,lqf,CG4021,sle,hyx,ctrip,CG11970,sm,Set1,NO66,CG8312,CG4452,jumu","FBgn0267790,FBgn0261976,FBgn0038860,FBgn0034495,FBgn0264495,FBgn0085444,FBgn0037504,FBgn0024330,FBgn0036018,FBgn0039182,FBgn0037698,FBgn0037263,FBgn0034065,FBgn0037556,FBgn0028582,FBgn0034659,FBgn0037810,FBgn0037657,FBgn0260794,FBgn0027503,FBgn0003435,FBgn0040022,FBgn0266570,FBgn0037720,FBgn0035981,FBgn0015396"
"","GO Molecular Function","GO:0016787","hydrolase activity","1710","54","10.672","0.8717","-0.198","0.879703201425126","0.0556638275373041","1","0.938650449664027","1","CG8563,sphinx2,CG32052,CG40470,CG8500,Ide,Nlg2,CG32379,Tengl4,CG18258,Hsl,AGO3,PpN58A,Klp67A,CG30283,norpA,grass,PGRP-LA,CG14669,CtsF,Kat60,CG18417,CG30286,tun,Gal,eIF5B,Atet,Snp,slx1,MESK2,CG3251,Rab39,CG6465,Dhc1,ndl,Pde1c,CG18735,CG8945,RagA-B,CG3744,Pu,CG8560,CG30288,sp3,Cht7,Pdp,Pms2,Tps1,alpha-Est8,CG9953,Usp5,Galphai,Nmdmc,Rpt6R","FBgn0035777,FBgn0052382,FBgn0044328,FBgn0058470,FBgn0037754,FBgn0001247,FBgn0031866,FBgn0052379,FBgn0037857,FBgn0265267,FBgn0034491,FBgn0250816,FBgn0025573,FBgn0004379,FBgn0260477,FBgn0262738,FBgn0039494,FBgn0035975,FBgn0037326,FBgn0260462,FBgn0040208,FBgn0035780,FBgn0050286,FBgn0034046,FBgn0001089,FBgn0026259,FBgn0020762,FBgn0265192,FBgn0037263,FBgn0043070,FBgn0031622,FBgn0029959,FBgn0037818,FBgn0287844,FBgn0002926,FBgn0264815,FBgn0042098,FBgn0030815,FBgn0037647,FBgn0039240,FBgn0003162,FBgn0035781,FBgn0050288,FBgn0038890,FBgn0035398,FBgn0029958,FBgn0011660,FBgn0027560,FBgn0015576,FBgn0035726,FBgn0035402,FBgn0001104,FBgn0010222,FBgn0039788"
"","GO Cellular Component","GO:0005635","nuclear envelope","138","3","0.593","0.6001","-0.737","0.881122379058909","0.0549637682520685","1","0.939534422439644","1","Rrp42,Impbeta11,pum","FBgn0034065,FBgn0284254,FBgn0003165"
"","GO Molecular Function","GO:0004252","serine-type endopeptidase activity","278","7","1.383","0.6951","-0.525","0.881283288248386","0.0548844653145348","1","0.939534422439644","1","CG30286,CG30283,grass,CG30288,ndl,CG18735,sphinx2","FBgn0050286,FBgn0260477,FBgn0039494,FBgn0050288,FBgn0002926,FBgn0042098,FBgn0052382"
"","GO Cellular Component","GO:0005740","mitochondrial envelope","442","12","2.372","0.7495","-0.416","0.882032398407319","0.0545154622705573","1","0.939932223366709","1","Tom40,Tengl4,MCU,AGO3,CG10914,BNIP3,Tango11,Tim10,CG1409,ND-39,CG3434,CG42381","FBgn0016041,FBgn0037857,FBgn0042185,FBgn0250816,FBgn0034307,FBgn0037007,FBgn0050404,FBgn0027360,FBgn0029964,FBgn0037001,FBgn0036000,FBgn0259727"
"","GO Biological Processes","GO:0051321","meiotic cell cycle","245","6","1.186","0.676","-0.565","0.883229475188401","0.0539264460708582","1","0.940806854695783","1","SRPK,topi,Klp67A,hyd,Cenp-C,Sas-4","FBgn0286813,FBgn0037751,FBgn0004379,FBgn0002431,FBgn0266916,FBgn0011020"
"","GO Biological Processes","GO:0006869","lipid transport","101","2","0.395","0.5466","-0.871","0.885434645407809","0.0528434888908689","1","0.942352751604735","1","Npc2d,scramb2","FBgn0037782,FBgn0035390"
"","GO Biological Processes","GO:0010817","regulation of hormone levels","101","2","0.395","0.5466","-0.871","0.885434645407809","0.0528434888908689","1","0.942352751604735","1","eloF,Cph","FBgn0037762,FBgn0029939"
"","GO Biological Processes","GO:0007005","mitochondrion organization","212","5","0.988","0.6511","-0.619","0.886863342593411","0.052143295760118","1","0.942562440419318","1","CG42380,Tim10,Mp,Tango11,BNIP3","FBgn0259726,FBgn0027360,FBgn0260660,FBgn0050404,FBgn0037007"
"","GO Biological Processes","GO:0007298","border follicle cell migration","140","3","0.593","0.5915","-0.758","0.886995784176053","0.0520784443322282","1","0.942562440419318","1","cindr,baz,Egfr","FBgn0027598,FBgn0000163,FBgn0003731"
